brand,cartype,fueltype,enginesize,status,year,mileage,price
Audi,Sedan,Petrol,2.4,New,2024,0,41000
Volkswagen,Pickup,Electric,3.3,Used,2000,131192,5000
Audi,Coupe,Hybrid,3.0,New,2024,0,44000
Mercedes,SUV,Diesel,3.6,Certified,2004,38256,25087
Kia,SUV,Diesel,2.9,New,2024,0,23500
Kia,Pickup,Hybrid,3.8,Used,2006,62993,6850
Audi,SUV,Electric,2.6,Certified,2005,91153,18442
Kia,SUV,Electric,3.3,Certified,2021,84839,18258
Ford,SUV,Diesel,3.6,New,2024,0,27000
Ford,Pickup,Hybrid,2.7,Used,2008,155599,5000
Hyundai,Coupe,Diesel,2.1,Used,2000,85519,5000
Toyota,Coupe,Hybrid,2.9,Certified,2017,29123,15043
Kia,Hatchback,Petrol,2.4,New,2024,0,21000
Tesla,Hatchback,Petrol,1.3,New,2024,0,35500
BMW,Convertible,Diesel,3.0,Certified,2006,143255,18837
Audi,Pickup,Hybrid,3.5,Used,2020,101550,37422
Kia,Pickup,Hybrid,3.3,Used,2010,206067,5000
Ford,Pickup,Electric,3.1,Used,2016,103591,11320
Honda,Sedan,Hybrid,2.3,New,2024,0,20500
Toyota,Sedan,Hybrid,2.4,Used,2019,135763,9211
BMW,Convertible,Diesel,1.0,Certified,2003,81057,8947
Kia,Coupe,Hybrid,2.2,New,2024,0,20000
Mercedes,Convertible,Hybrid,1.1,Used,2016,132481,19875
Kia,Sedan,Electric,1.9,New,2024,0,18500
Kia,Pickup,Petrol,3.9,Used,2007,83169,7341
Volkswagen,Sedan,Petrol,2.3,New,2024,0,20500
Mercedes,SUV,Electric,4.9,Certified,2016,92998,40850
Honda,Hatchback,Petrol,1.6,Certified,2001,11305,5000
Kia,Pickup,Hybrid,3.4,Certified,2020,65661,18716
BMW,Sedan,Diesel,1.3,New,2024,0,35500
Hyundai,Sedan,Petrol,2.8,Used,2020,67737,15613
Hyundai,Hatchback,Hybrid,1.5,Used,2020,166955,5000
Toyota,Sedan,Electric,2.6,New,2024,0,22000
Ford,SUV,Diesel,4.3,New,2024,0,30500
Honda,SUV,Diesel,3.6,Certified,2016,74967,15251
Hyundai,Hatchback,Petrol,2.2,New,2024,0,20000
BMW,Pickup,Hybrid,4.9,Certified,2005,170293,25985
Honda,Coupe,Hybrid,2.3,Used,2021,208097,7095
Volkswagen,Sedan,Hybrid,1.9,Certified,2012,30727,5000
BMW,Coupe,Petrol,1.7,New,2024,0,37500
Volkswagen,Pickup,Hybrid,4.2,Used,2013,79565,15021
Ford,SUV,Petrol,3.1,Used,2005,86402,5000
Kia,SUV,Petrol,3.3,New,2024,0,25500
